site_no,nwsli,cdec_id,cdec_station_name,usgs_station_name_xwalk,cdec_group,cdec_basin,county,nws_flood_stage_ft,crosswalk_source,crosswalk_note,cnrfc_channel,cnrfc_location,cnrfc_nickname,cnrfc_gage_class1,cnrfc_gage_class2
11526250,TRJC1,TJC,Trinity R At Junction City,Trinity R A Junction City Ca,North Coast,Trinity R,Trinity,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Trinity River,Junction City,Trinity River - Junction City,river,other
11526500,THAC1,NTR,Nf Trinity River At Helena,Nf Trinity R A Helena Ca,North Coast,Trinity R,Trinity,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,North Fork Trinity River,Helena,North Fork Trinity River - Helena,river,other
11527000,BURC1,TBR,Trinity River Near Burnt Ranch,Trinity R Nr Burnt Ranch Ca,North Coast,Trinity R,Trinity,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Trinity River,Burnt Ranch,Trinity River - Burnt Ranch,river,other
11528700,HYMC1,TBH,South Fork Trinity River Below Hyampom,Sf Trinity R Bl Hyampom Ca,North Coast,Trinity R,Humboldt,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,South Fork Trinity River,Hyampom,South Fork Trinity River - Hyampom,river,other
11530000,HOOC1,HPA,Trinity River At Hoopa,Trinity R A Hoopa Ca,North Coast,Trinity R,Humboldt,48,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Trinity River,Hoopa,Trinity River - Hoopa,river,forecast
11530500,KLMC1,KNK,Klamath River Near Klamath,Klamath R Nr Klamath Ca,North Coast,Klamath R,Del Norte,38,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Klamath River,Klamath,Klamath River - Klamath,river,forecast
11532500,CREC1,JED,Smith R Nr Crescent City (jed Smith Sp),Smith R Nr Crescent City Ca,North Coast,Smith R,Del Norte,29,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Smith River,Jedediah Smith SP,Smith River - Jedediah Smith SP,river,forecast
11532650,FTDC1,NA,NA,Smith R Nr Fort Dick Ca,NA,NA,NA,33,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Smith River,Doctor Fine Bridge,Smith River - Doctor Fine Bridge,river,forecast
13105000,SFLN2,NA,NA,Salmon Falls Creek Nr San Jacinto Nv,NA,NA,NA,10,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
13161500,BRON2,NA,NA,"Bruneau Rv At Rowland, Nv",NA,NA,NA,7,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
13162225,JBGN2,NA,NA,"Jarbidge Rv Blw Jarbidge, Nv",NA,NA,NA,5.5,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
13174000,WDHN2,NA,NA,"Wild Horse Res Nr Gold Cr, Nv",NA,NA,NA,6208,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
13174500,OGCN2,NA,NA,"Owyhee Rv Nr Gold Ck, Nv",NA,NA,NA,3.5,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
13175100,OMCN2,NA,NA,"Owyhee Rv Nr Mountain City, Nv",NA,NA,NA,8,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
13181000,ROMO3,NA,NA,Owyhee River Nr Rome Or,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
13183000,OWYO3,NA,NA,"Owyhee River Below Owyhee Dam, Or",NA,NA,NA,10.8,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
13233300,VALO3,NA,NA,Malheur River Below Nevada Dam Near Vale Or,NA,NA,NA,19.5,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
13290450,HCDI1,NA,NA,Snake River At Hells Canyon Dam Id-or State Line,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
13333000,TRYO3,NA,NA,"Grande Ronde River At Troy, Or",NA,NA,NA,10,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14020000,GIBO3,NA,NA,"Umatilla River Above Meacham Creek, Nr Gibbon, Or",NA,NA,NA,7,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14020850,PDUO3,NA,NA,"Umatilla R At W Reservation Bndy Nr Pendleton, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14033500,UMAO3,NA,NA,"Umatilla River Near Umatilla, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14038530,JHNO3,NA,NA,"John Day River Near John Day, Or",NA,NA,NA,8,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14046000,MONO3,NA,NA,"North Fork John Day River At Monument, Or",NA,NA,NA,14,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14046500,SERO3,NA,NA,"John Day River At Service Creek, Or",NA,NA,NA,11.5,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14097100,KAHO3,NA,NA,"Warm Springs River Near Kahneeta Hot Springs, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14103000,MODO3,NA,NA,"Deschutes River At Moody, Near Biggs, Or",NA,NA,NA,8,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14120000,HODO3,NA,NA,"Hood River At Tucker Bridge, Near Hood River, Or",NA,NA,NA,13,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14137000,SRMO3,NA,NA,"Sandy River Near Marmot, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14138560,BRLO3,NA,NA,"Bull Run Lake Near Brightwood, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14138720,BFLO3,NA,NA,"Bull Run River At Lower Flume Nr Brightwood, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14138850,BMFO3,NA,NA,"Bull Run River Near Multnomah Falls, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14138900,NBRO3,NA,NA,"North Fork Bull Run River Near Multnomah Falls, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14139000,BRVO3,NA,NA,"Bull Run Reservoir No 1 Near Bull Run, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14139800,SBRO3,NA,NA,"South Fork Bull Run River Near Bull Run, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14139900,BURO3,NA,NA,"Bull Run Reservoir No 2, Near Bull Run, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14140000,RUNO3,NA,NA,"Bull Run River Near Bull Run (river Only), Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14141500,LSNO3,NA,NA,"Little Sandy River Near Bull Run, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14142500,SNDO3,NA,NA,"Sandy River Blw Bull Run River, Nr Bull Run, Or",NA,NA,NA,19.3,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14142800,BCTO3,NA,NA,"Beaver Creek At Troutdale, Or",NA,NA,NA,10,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
14150000,DEXO3,NA,NA,"Middle Fork Willamette River Near Dexter, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only.,NA,NA,NA,NA,NA
